|    0 |    1 |    2 |    3 |    4 |    5 |
-----------------------------------------------------------------------------------------------------------------
|  309 |  131 |  314 |  128 |  313 |  130 |
|  327 |  137 |  328 |  133 |  324 |  134 |
|  331 |  136 |  325 |  132 |  320 |  133 |
|  324 |  135 |  323 |  131 |  321 |  133 |
|  324 |  136 |  325 |  131 |  321 |  133 |
|  325 |  136 |  324 |  131 |  321 |  133 |
|  327 |  137 |  327 |  132 |  324 |  134 |
|  325 |  136 |  325 |  131 |  321 |  133 |
|  324 |  136 |  324 |  131 |  321 |  133 |
|  321 |  135 |  322 |  131 |  319 |  132 |
|  324 |  136 |  324 |  132 |  321 |  133 |
|  322 |  136 |  323 |  131 |  320 |  133 |
|  327 |  137 |  327 |  132 |  324 |  134 |
|  321 |  135 |  320 |  130 |  317 |  132 |
|  324 |  135 |  327 |  131 |  323 |  133 |
|  324 |  136 |  324 |  131 |  321 |  133 |
|  324 |  136 |  324 |  131 |  320 |  133 |
|  326 |  137 |  325 |  131 |  322 |  133 |
|  323 |  135 |  323 |  131 |  320 |  133 |
|  326 |  136 |  325 |  132 |  322 |  133 |
|  325 |  136 |  325 |  132 |  323 |  134 |
|  324 |  136 |  324 |  131 |  321 |  133 |
|  323 |  136 |  323 |  131 |  320 |  133 |
|  325 |  136 |  325 |  132 |  322 |  133 |
|  321 |  135 |  320 |  130 |  318 |  132 |
|  326 |  136 |  324 |  131 |  322 |  133 |
|  325 |  136 |  325 |  132 |  323 |  133 |
|  328 |  137 |  327 |  133 |  325 |  134 |
|  325 |  136 |  325 |  132 |  322 |  133 |
|  327 |  137 |  326 |  133 |  324 |  134 |
|  320 |  134 |  320 |  130 |  319 |  132 |
|  323 |  136 |  323 |  131 |  321 |  133 |
|  321 |  135 |  321 |  130 |  318 |  132 |
|  320 |  135 |  321 |  130 |  316 |  132 |
|  321 |  135 |  321 |  131 |  319 |  132 |
|  323 |  135 |  323 |  131 |  320 |  133 |
|  321 |  135 |  321 |  131 |  318 |  134 |
|  324 |  136 |  324 |  131 |  321 |  133 |
|  324 |  136 |  324 |  131 |  321 |  133 |
|  321 |  137 |  323 |  131 |  320 |  133 |
|  323 |  136 |  323 |  131 |  320 |  133 |
|  319 |  134 |  320 |  130 |  317 |  132 |
|  322 |  135 |  322 |  130 |  317 |  132 |
|  322 |  135 |  323 |  131 |  319 |  133 |
|  320 |  134 |  321 |  130 |  316 |  132 |
|  323 |  136 |  324 |  131 |  321 |  133 |
|  324 |  136 |  325 |  132 |  321 |  134 |
|  319 |  134 |  320 |  130 |  317 |  132 |
|  322 |  136 |  324 |  132 |  321 |  133 |
|  321 |  135 |  321 |  131 |  318 |  132 |
|  321 |  135 |  322 |  131 |  319 |  132 |
|  322 |  135 |  324 |  132 |  321 |  133 |
|  323 |  135 |  323 |  131 |  319 |  133 |
|  326 |  137 |  326 |  133 |  324 |  134 |
|  324 |  136 |  324 |  132 |  321 |  133 |
|  324 |  136 |  323 |  131 |  320 |  133 |
|  323 |  135 |  322 |  131 |  319 |  132 |
|  323 |  136 |  324 |  131 |  320 |  133 |
|  326 |  137 |  326 |  133 |  324 |  135 |
|  326 |  137 |  326 |  133 |  323 |  134 |
|  322 |  135 |  322 |  131 |  318 |  132 |
|  322 |  136 |  320 |  131 |  319 |  132 |
|  323 |  136 |  323 |  131 |  320 |  133 |
|  322 |  135 |  323 |  131 |  319 |  133 |
|  319 |  135 |  324 |  130 |  317 |  132 |
|  323 |  136 |  324 |  131 |  320 |  133 |
|  320 |  135 |  320 |  130 |  317 |  132 |
|  320 |  134 |  319 |  130 |  317 |  132 |
|  328 |  137 |  327 |  132 |  322 |  133 |
|  323 |  135 |  324 |  132 |  321 |  133 |
|  328 |  138 |  329 |  133 |  325 |  134 |
|  332 |  139 |  332 |  135 |  328 |  136 |
|  325 |  136 |  325 |  132 |  322 |  133 |
|  327 |  138 |  328 |  133 |  324 |  134 |
|  323 |  135 |  322 |  131 |  319 |  133 |
|  321 |  135 |  323 |  131 |  320 |  133 |
|  322 |  135 |  322 |  131 |  319 |  133 |
|  324 |  136 |  323 |  131 |  319 |  132 |
|  325 |  136 |  325 |  132 |  321 |  133 |
|  322 |  135 |  323 |  131 |  320 |  133 |
|  322 |  135 |  320 |  131 |  317 |  133 |
|  322 |  135 |  323 |  131 |  319 |  132 |
|  321 |  135 |  322 |  131 |  319 |  132 |
|  321 |  136 |  324 |  132 |  319 |  133 |
|  325 |  137 |  325 |  132 |  322 |  134 |
|  318 |  134 |  317 |  129 |  315 |  131 |
|  317 |  134 |  318 |  129 |  313 |  131 |
|  317 |  133 |  317 |  129 |  313 |  130 |
|  321 |  135 |  321 |  130 |  317 |  132 |
|  324 |  136 |  324 |  131 |  321 |  133 |
|  320 |  135 |  320 |  130 |  317 |  132 |
