|    0 |    1 |    2 |    3 |    4 |    5 |
-----------------------------------------------------------------------------------------------------------------
|    5 |   27 |   27 |   41 |   49 |   60 |
|  126 |  157 |  152 |  105 |  155 |  144 |
|  132 |  142 |  152 |  105 |  155 |  144 |
|  133 |  141 |  153 |  105 |  155 |  144 |
|  131 |  144 |  153 |  106 |  154 |  145 |
|  125 |  160 |  152 |  106 |  154 |  145 |
|  126 |  150 |  152 |  106 |  154 |  144 |
|  126 |  158 |  152 |  106 |  154 |  145 |
|  131 |  146 |  152 |  106 |  154 |  145 |
|  134 |  141 |  152 |  106 |  155 |  145 |
|  127 |  167 |  152 |  106 |  154 |  145 |
|  125 |  159 |  152 |  106 |  154 |  145 |
|  125 |  157 |  152 |  106 |  154 |  145 |
|  124 |  156 |  152 |  106 |  154 |  145 |
|  126 |  158 |  152 |  106 |  154 |  145 |
|  131 |  145 |  152 |  106 |  154 |  145 |
|  125 |  161 |  152 |  106 |  154 |  145 |
|  131 |  146 |  152 |  106 |  154 |  145 |
|  132 |  142 |  153 |  106 |  155 |  145 |
|  126 |  159 |  152 |  106 |  154 |  145 |
|  124 |  161 |  152 |  106 |  154 |  145 |
|  126 |  155 |  152 |  106 |  155 |  145 |
|  124 |  161 |  152 |  106 |  154 |  146 |
|  131 |  145 |  152 |  106 |  154 |  145 |
|  133 |  141 |  153 |  106 |  154 |  145 |
|  126 |  155 |  152 |  106 |  155 |  144 |
|  125 |  160 |  152 |  106 |  154 |  145 |
|  125 |  158 |  152 |  106 |  154 |  145 |
|  125 |  159 |  152 |  106 |  154 |  145 |
|  130 |  149 |  152 |  106 |  154 |  145 |
|  131 |  144 |  152 |  106 |  155 |  145 |
|  127 |  155 |  152 |  106 |  154 |  145 |
|  125 |  157 |  152 |  106 |  152 |  145 |
|  125 |  161 |  152 |  106 |  154 |  145 |
|  129 |  148 |  152 |  106 |  154 |  146 |
|  132 |  144 |  153 |  106 |  154 |  145 |
|  125 |  159 |  152 |  106 |  154 |  145 |
|  127 |  154 |  152 |  106 |  154 |  146 |
|  128 |  155 |  152 |  106 |  154 |  145 |
|  125 |  159 |  152 |  106 |  154 |  145 |
|  125 |  160 |  152 |  106 |  154 |  145 |
|  132 |  144 |  153 |  106 |  154 |  146 |
|  124 |  160 |  152 |  106 |  154 |  145 |
|  125 |  160 |  152 |  106 |  154 |  145 |
|  125 |  159 |  153 |  106 |  154 |  145 |
|  126 |  156 |  152 |  106 |  154 |  145 |
|  128 |  152 |  152 |  106 |  154 |  145 |
|  132 |  145 |  152 |  106 |  155 |  145 |
|  132 |  145 |  153 |  106 |  154 |  145 |
|  126 |  158 |  152 |  106 |  154 |  145 |
|  125 |  161 |  152 |  106 |  154 |  145 |
|  125 |  157 |  152 |  106 |  154 |  145 |
|  132 |  142 |  152 |  106 |  154 |  145 |
|  132 |  144 |  153 |  106 |  154 |  145 |
|  133 |  142 |  153 |  106 |  155 |  145 |
|  124 |  160 |  152 |  106 |  154 |  145 |
|  127 |  133 |  152 |  106 |  154 |  145 |
|  125 |  158 |  152 |  106 |  154 |  145 |
|  125 |  155 |  152 |  106 |  154 |  145 |
|  131 |  143 |  153 |  106 |  154 |  145 |
|  126 |  154 |  152 |  106 |  154 |  146 |
|  125 |  162 |  152 |  106 |  154 |  145 |
|  126 |  156 |  152 |  106 |  154 |  145 |
|  125 |  160 |  152 |  106 |  154 |  144 |
|  131 |  143 |  152 |  106 |  154 |  145 |
|  129 |  148 |  152 |  106 |  154 |  145 |
|  124 |  160 |  151 |  107 |  153 |  145 |
|  132 |  144 |  152 |  106 |  154 |  145 |
|  128 |  152 |  152 |  106 |  154 |  145 |
|  126 |  157 |  153 |  106 |  154 |  146 |
|  125 |  160 |  152 |  106 |  154 |  145 |
|  127 |  160 |  151 |  106 |  155 |  145 |
|  125 |  161 |  152 |  106 |  154 |  145 |
|  124 |  159 |  152 |  106 |  154 |  145 |
|  127 |  153 |  152 |  106 |  154 |  145 |
|  126 |  155 |  152 |  106 |  154 |  145 |
|  125 |  160 |  152 |  106 |  154 |  145 |
|  125 |  158 |  152 |  106 |  154 |  145 |
|  131 |  144 |  152 |  106 |  154 |  145 |
|  132 |  144 |  152 |  106 |  155 |  145 |
|  132 |  144 |  152 |  106 |  154 |  145 |
|  126 |  156 |  152 |  106 |  154 |  145 |
|  126 |  157 |  152 |  106 |  155 |  145 |
|  125 |  154 |  152 |  106 |  154 |  145 |
|  131 |  145 |  153 |  106 |  154 |  145 |
|  125 |  161 |  153 |  106 |  154 |  145 |
|  131 |  146 |  152 |  106 |  154 |  145 |
|  125 |  156 |  152 |  106 |  154 |  145 |
|  123 |  158 |  153 |  107 |  154 |  144 |
|  132 |  141 |  153 |  106 |  154 |  145 |
|  128 |  151 |  152 |  106 |  154 |  145 |
|  129 |  148 |  152 |  106 |  154 |  145 |
|  132 |  143 |  153 |  106 |  154 |  145 |
|  125 |  155 |  152 |  106 |  154 |  145 |
|  124 |  158 |  152 |  106 |  154 |  145 |
|  124 |  156 |  152 |  106 |  154 |  145 |
|  130 |  145 |  153 |  106 |  154 |  145 |
|  132 |  144 |  152 |  106 |  154 |  145 |
|  131 |  146 |  152 |  106 |  154 |  145 |
|  125 |  157 |  152 |  106 |  154 |  145 |
|  125 |  157 |  152 |  106 |  154 |  146 |
|  125 |  157 |  152 |  106 |  154 |  145 |
|  131 |  145 |  152 |  106 |  154 |  145 |
|  124 |  159 |  152 |  106 |  154 |  145 |
|  127 |  152 |  152 |  106 |  154 |  145 |
|  125 |  157 |  152 |  106 |  154 |  146 |
|  126 |  150 |  152 |  106 |  154 |  145 |
|  125 |  156 |  152 |  106 |  154 |  145 |
|  131 |  143 |  152 |  106 |  154 |  145 |
|  129 |  151 |  152 |  106 |  154 |  145 |
|  125 |  158 |  153 |  106 |  154 |  144 |
|  132 |  141 |  153 |  106 |  154 |  145 |
|  127 |  151 |  152 |  106 |  154 |  145 |
|  124 |  158 |  152 |  106 |  155 |  145 |
|  132 |  143 |  153 |  106 |  154 |  145 |
|  124 |  157 |  152 |  106 |  154 |  145 |
|  124 |  156 |  153 |  106 |  154 |  146 |
|  128 |  148 |  152 |  106 |  154 |  145 |
|  124 |  158 |  152 |  106 |  154 |  145 |
|  127 |  153 |  152 |  106 |  154 |  145 |
|  131 |  145 |  152 |  106 |  154 |  145 |
|  125 |  157 |  152 |  106 |  154 |  145 |
|  131 |  142 |  153 |  106 |  154 |  145 |
|  132 |  141 |  153 |  106 |  154 |  145 |
|  125 |  155 |  152 |  106 |  154 |  145 |
|  126 |  154 |  152 |  106 |  154 |  145 |
|  126 |  155 |  152 |  106 |  154 |  145 |
|  127 |  155 |  152 |  106 |  154 |  145 |
|  132 |  143 |  153 |  106 |  154 |  145 |
|  131 |  142 |  152 |  106 |  154 |  145 |
|  125 |  158 |  152 |  106 |  154 |  145 |
|  125 |  157 |  152 |  106 |  154 |  145 |
|  124 |  160 |  152 |  106 |  154 |  145 |
|  125 |  154 |  152 |  106 |  154 |  145 |
|  131 |  141 |  153 |  106 |  154 |  145 |
|  128 |  149 |  153 |  106 |  154 |  145 |
|  131 |  143 |  153 |  106 |  154 |  145 |
|  125 |  166 |  152 |  106 |  154 |  145 |
|  125 |  157 |  152 |  106 |  154 |  146 |
|  132 |  142 |  153 |  106 |  154 |  145 |
|  131 |  146 |  152 |  106 |  154 |  145 |
|  133 |  131 |  151 |  105 |  153 |  145 |
|  132 |  142 |  152 |  105 |  154 |  144 |
|  125 |  158 |  152 |  105 |  154 |  144 |
|  126 |  155 |  151 |  106 |  153 |  144 |
|  126 |  156 |  152 |  105 |  153 |  144 |
|  131 |  142 |  152 |  105 |  154 |  144 |
|  125 |  157 |  151 |  105 |  153 |  145 |
|  126 |  154 |  152 |  105 |  154 |  144 |
